label,q_file_success,qc_file_success,qubits,cx,h,s,sdg,cz,x,z,t,tdg,rx0.8,ccx,rz2,measure,clifford
clifford__clifford-9,True,True,62,9286,7643,7405,745,671,8,11,0,0,0,0,0,0,25769
clifford_t__clifford-9,True,True,62,8349,7046,6413,759,702,6,11,2457,0,0,0,0,0,23286
clifford_t__cx_t-9,True,True,62,12220,2464,2704,608,0,0,323,8034,1208,0,0,0,0,18319
clifford_t__cx_t__twice-9,True,True,62,12147,2525,3381,80,0,0,153,9135,36,0,0,0,0,18286
clifford_t__h_cz_rx-9,True,True,62,7150,2627,2701,580,5065,0,338,3005,1271,4968,0,0,0,18461
clifford_t__h_cz_rx__twice-9,True,True,62,7098,2663,3350,71,4992,0,169,4148,38,5032,0,0,0,18343
ccx_h__clifford-9,True,True,62,9464,8686,3100,579,407,25,8,0,0,0,5034,0,0,22269
ccx_h__cx_t-9,True,True,62,9622,5070,228,570,0,0,292,5475,1199,0,4930,0,0,15782
ccx_h__cx_t__twice-9,True,True,62,9652,5035,936,70,0,0,155,6656,34,0,4965,0,0,15848
rz_h__cx-9,False,True,62,10454,5052,0,0,0,0,0,0,0,0,0,4948,0,15506
rz_h__cx__twice-9,False,True,62,10466,4887,0,0,0,0,0,0,0,0,0,5113,0,15353
measure_ghz-9,False,False,62,12200,100,0,0,0,0,0,0,0,0,0,0,100,12300
