,tool,label,precise_avg,error_summary,time_s_suc_min,time_s_suc_max,time_s_0,time_s_1,time_s_2,time_s_3,time_s_4,time_s_5,time_s_6,time_s_7,time_s_8,time_s_9,time_h_0,time_h_1,time_h_2,time_h_3,time_h_4,time_h_5,time_h_6,time_h_7,time_h_8,time_h_9,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,precise_0,precise_1,precise_2,precise_3,precise_4,precise_5,precise_6,precise_7,precise_8,precise_9,time_s_suc_0,time_s_suc_1,time_s_suc_2,time_s_suc_3,time_s_suc_4,time_s_suc_5,time_s_suc_6,time_s_suc_7,time_s_suc_8,time_s_suc_9
10,abstraqt,rz_h__cx__twice,1.0,,37.06184768676758,46.07998180389404,37.06184768676758,37.06916356086731,41.06830453872681,40.07336688041687,37.06492900848389,42.07085466384888,38.068517446517944,38.06764554977417,41.06883478164673,46.07998180389404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,37.06184768676758,37.06916356086731,41.06830453872681,40.07336688041687,37.06492900848389,42.07085466384888,38.068517446517944,38.06764554977417,41.06883478164673,46.07998180389404
11,abstraqt,measure_ghz,1.0,,23.04633927345276,32.060784339904785,24.045958757400513,24.046777486801147,23.04633927345276,26.04976725578308,24.045533657073975,27.055142879486084,25.05024242401123,25.04634952545166,27.052279233932495,32.060784339904785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,24.045958757400513,24.046777486801147,23.04633927345276,26.04976725578308,24.045533657073975,27.055142879486084,25.05024242401123,25.04634952545166,27.052279233932495,32.060784339904785
12,feynman,clifford__clifford,0.0,"T/O:8,OOM:2",,,21375.295868873596,21374.619239091873,2656.5065751075745,21374.431840896606,21374.98661017418,16269.540169000626,21374.477751016617,21374.776943445206,21375.361732959747,21374.72807598114,5.9,5.9,0.7,5.9,5.9,4.5,5.9,5.9,5.9,5.9,T/O,T/O,OOM,T/O,T/O,OOM,T/O,T/O,T/O,T/O,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,
13,feynman,clifford_t__clifford,0.0,"T/O:9,OOM:1",,,21375.151514053345,21375.05754852295,21374.857389450073,21375.337638378143,21375.514758110046,21375.120411396027,21374.679609060287,21374.55706167221,21375.36080622673,4764.588073015213,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,1.3,T/O,T/O,T/O,T/O,T/O,T/O,T/O,T/O,T/O,OOM,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,
14,feynman,clifford_t__cx_t,0.0,T/O:10,,,21374.88663315773,21374.216853618622,21374.45245051384,21375.015818357468,21374.278512239456,21374.853650331497,21374.756146669388,21374.22773194313,21374.967184066772,21374.162190437317,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,T/O,T/O,T/O,T/O,T/O,T/O,T/O,T/O,T/O,T/O,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,
15,feynman,clifford_t__cx_t__twice,0.0,T/O:10,,,21374.945425987244,21374.883637189865,21374.891393899918,21374.713014125824,21374.461128473282,21375.12229180336,21374.995349407196,21375.187925815582,21375.159559488297,21374.202740192413,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,T/O,T/O,T/O,T/O,T/O,T/O,T/O,T/O,T/O,T/O,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,
16,feynman,clifford_t__h_cz_rx,0.0,T/O:10,,,21374.212309122086,21374.188522338867,21374.195242643356,21374.212782859802,21374.19622516632,21374.197640419006,21374.13189148903,21374.215742588043,21374.22243618965,21374.213461637497,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,T/O,T/O,T/O,T/O,T/O,T/O,T/O,T/O,T/O,T/O,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,
17,feynman,clifford_t__h_cz_rx__twice,0.0,T/O:10,,,21374.286395549774,21374.67592740059,21374.340463399887,21375.048566818237,21374.715506076813,21374.36978650093,21374.916995048523,21374.99383211136,21374.48015022278,21374.19024682045,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,T/O,T/O,T/O,T/O,T/O,T/O,T/O,T/O,T/O,T/O,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,
18,feynman,ccx_h__clifford,0.0,OOM:10,,,2029.9232697486877,1960.9752180576324,2600.074373960495,1798.5058155059814,1915.6090083122253,1904.2226088047028,2032.6994569301605,1655.149850845337,2072.3215837478638,1893.561613559723,0.6,0.5,0.7,0.5,0.5,0.5,0.6,0.5,0.6,0.5,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,
19,feynman,ccx_h__cx_t,0.0,T/O:10,,,21374.21093440056,21375.222767353058,21374.819504261017,21374.822044849396,21375.050604343414,21374.329342603683,21375.074192523956,21374.778148651123,21374.825326681137,21374.174342155457,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,T/O,T/O,T/O,T/O,T/O,T/O,T/O,T/O,T/O,T/O,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,
